#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 16:26:41.791
#Sample rate: 1600Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.2308924731182796,-9.33514931221946
0.2315174731182796,-9.393974036192162
0.2321424731182796,-9.342502402716049
0.2327674731182796,-9.346178947964342
0.2333924731182796,-9.368238219454105
0.2340174731182796,-9.360885128957518
0.2346424731182796,-9.408680217185339
0.2352674731182796,-9.41970985293022
0.2358924731182796,-9.423386398178513
0.2365174731182796,-9.478534576902922
0.2371424731182796,-9.511623484137568
0.2377674731182796,-9.504270393640979
0.2383924731182796,-9.496917303144391
0.2390174731182796,-9.40132712668875
0.2396424731182796,-9.445445669668278
0.2402674731182796,-9.41970985293022
0.2408924731182796,-9.382944400447281
0.2415174731182796,-9.397650581440457
0.2421424731182796,-9.427062943426808
0.2427674731182796,-9.33514931221946
0.2433924731182796,-9.379267855198988
0.2440174731182796,-9.412356762433632
0.2446424731182796,-9.371914764702399
0.2452674731182796,-9.386620945695574
0.2458924731182796,-9.430739488675101
0.2465174731182796,-9.548388936620507
0.2471424731182796,-9.507946938889274
0.2477674731182796,-9.408680217185339
0.2483924731182796,-9.460151850661452
0.2490174731182796,-9.416033307681927
0.2496424731182796,-9.331472766971165
0.2502674731182796,-9.408680217185339
0.2508924731182796,-9.346178947964342
0.2515174731182795,-9.364561674205811
0.2521424731182796,-9.390297490943869
0.2527674731182796,-9.386620945695574
0.2533924731182796,-9.324119676474579
0.2540174731182795,-9.33514931221946
0.2546424731182796,-9.456475305413159
0.2552674731182796,-9.478534576902922
0.2558924731182796,-9.423386398178513
0.2565174731182795,-9.456475305413159
0.2571424731182796,-9.441769124419983
0.2577674731182796,-9.438092579171689
0.2583924731182796,-9.530006210379037
0.2590174731182796,-9.41970985293022
0.2596424731182796,-9.386620945695574
0.2602674731182796,-9.386620945695574
0.2608924731182796,-9.386620945695574
0.2615174731182796,-9.371914764702399
0.2621424731182796,-9.375591309950693
0.2627674731182796,-9.40132712668875
0.2633924731182796,-9.379267855198988
0.2640174731182796,-9.390297490943869
0.2646424731182796,-9.430739488675101
0.2652674731182796,-9.412356762433632
0.2658924731182796,-9.397650581440457
0.2665174731182796,-9.40132712668875
0.2671424731182795,-9.430739488675101
0.2677674731182796,-9.482211122151217
0.2683924731182796,-9.518976574634156
